Сценарий,Стратегия,Выполнено задач,Использовано энергии,Всего энергии,% выполнения,Ср. энергия на задачу,Общее время (µs)
equal,RL (Q-learning),30,32468.00,46752.00,63.8%,1082.27,1143.022
equal,Минимизация ВрЗ,25,31134.00,46752.00,53.2%,1245.36,997.463
equal,Прямого перебора,27,32468.00,46752.00,57.4%,1202.52,279.014
equal,Рыночных методов,27,31881.00,46752.00,57.4%,1180.78,312.862
equal,Энергосберегающая,38,32991.00,46752.00,80.9%,868.18,1178.275
max,RL (Q-learning),45,44518.00,93504.00,95.7%,989.29,1917.049
max,Минимизация ВрЗ,44,44518.00,93504.00,93.6%,1011.77,1670.753
max,Прямого перебора,44,44518.00,93504.00,93.6%,1011.77,553.131
max,Рыночных методов,44,44518.00,93504.00,93.6%,1011.77,629.082
max,Энергосберегающая,46,44518.00,93504.00,97.9%,967.78,542.790
min,Рыночных методов,17,19140.00,23376.00,36.2%,1125.88,285.891
min,Энергосберегающая,30,19140.00,23376.00,63.8%,638.00,380.567
min,RL (Q-learning),21,19140.00,23376.00,44.7%,911.43,967.543
min,Минимизация ВрЗ,17,19140.00,23376.00,36.2%,1125.88,517.319
min,Прямого перебора,17,19140.00,23376.00,36.2%,1125.88,213.413
