Сценарий;Стратегия;Шаг;Джини (задачи);Джини (энергия)
max;RL (Q-learning);1;0.285666;0.280979
max;RL (Q-learning);2;0.286594;0.281259
max;RL (Q-learning);3;0.285480;0.278502
max;RL (Q-learning);4;0.285046;0.278134
max;RL (Q-learning);5;0.285913;0.276890
max;RL (Q-learning);6;0.287152;0.281957
max;RL (Q-learning);7;0.287399;0.281833
max;RL (Q-learning);8;0.287399;0.281576
max;RL (Q-learning);9;0.286594;0.279306
max;RL (Q-learning);10;0.284613;0.276192
max;RL (Q-learning);11;0.285666;0.279010
max;RL (Q-learning);12;0.285604;0.276329
max;RL (Q-learning);13;0.285418;0.279589
max;RL (Q-learning);14;0.285913;0.280215
max;RL (Q-learning);15;0.286594;0.281252
max;RL (Q-learning);16;0.285556;0.276649
max;RL (Q-learning);17;0.285604;0.276305
max;RL (Q-learning);18;0.288328;0.280016
max;RL (Q-learning);19;0.288328;0.280072
max;RL (Q-learning);20;0.285604;0.276743
max;RL (Q-learning);21;0.288762;0.279870
max;RL (Q-learning);22;0.288885;0.278864
max;RL (Q-learning);23;0.285604;0.277030
max;RL (Q-learning);24;0.288762;0.279950
max;RL (Q-learning);25;0.286409;0.277335
max;RL (Q-learning);26;0.286594;0.278462
max;RL (Q-learning);27;0.287152;0.279508
max;RL (Q-learning);28;0.286347;0.276994
max;RL (Q-learning);29;0.286533;0.278643
max;RL (Q-learning);30;0.287337;0.279035
max;Минимизация ВрЗ;1;0.533193;0.503559
max;Минимизация ВрЗ;2;0.533193;0.503559
max;Минимизация ВрЗ;3;0.533193;0.503559
max;Минимизация ВрЗ;4;0.533193;0.503559
max;Минимизация ВрЗ;5;0.533193;0.503559
max;Минимизация ВрЗ;6;0.533193;0.503559
max;Минимизация ВрЗ;7;0.533193;0.503559
max;Минимизация ВрЗ;8;0.533193;0.503559
max;Минимизация ВрЗ;9;0.533193;0.503559
max;Минимизация ВрЗ;10;0.533193;0.503559
max;Минимизация ВрЗ;11;0.533193;0.503559
max;Минимизация ВрЗ;12;0.533193;0.503559
max;Минимизация ВрЗ;13;0.533193;0.503559
max;Минимизация ВрЗ;14;0.533193;0.503559
max;Минимизация ВрЗ;15;0.533193;0.503559
max;Минимизация ВрЗ;16;0.533193;0.503559
max;Минимизация ВрЗ;17;0.533193;0.503559
max;Минимизация ВрЗ;18;0.533193;0.503559
max;Минимизация ВрЗ;19;0.533193;0.503559
max;Минимизация ВрЗ;20;0.533193;0.503559
max;Минимизация ВрЗ;21;0.533193;0.503559
max;Минимизация ВрЗ;22;0.533193;0.503559
max;Минимизация ВрЗ;23;0.533193;0.503559
max;Минимизация ВрЗ;24;0.533193;0.503559
max;Минимизация ВрЗ;25;0.533193;0.503559
max;Минимизация ВрЗ;26;0.533193;0.503559
max;Минимизация ВрЗ;27;0.533193;0.503559
max;Минимизация ВрЗ;28;0.533193;0.503559
max;Минимизация ВрЗ;29;0.533193;0.503559
max;Минимизация ВрЗ;30;0.533193;0.503559
max;Прямого перебора;1;0.000000;0.167345
max;Прямого перебора;2;0.000000;0.167345
