Сценарий;Стратегия;Среднее значение (задачи);Медиана (задачи);Среднее значение (энергия);Медиана (энергия)
equal;Энергосберегающая;0.292789;0.292789;0.219019;0.219019
equal;RL (Q-learning);0.299770;0.299746;0.231987;0.232088
equal;Минимизация ВрЗ;0.284744;0.284744;0.233043;0.233043
equal;Прямого перебора;0.010000;0.010000;0.295830;0.295830
equal;Рыночных методов;0.420544;0.420544;0.198148;0.198148
max;RL (Q-learning);0.358424;0.357055;0.352861;0.351369
max;Минимизация ВрЗ;0.532624;0.532624;0.513459;0.513459
max;Прямого перебора;0.010000;0.010000;0.173473;0.173473
max;Рыночных методов;0.356994;0.356994;0.320145;0.320145
max;Энергосберегающая;0.346943;0.346943;0.338459;0.338459
min;Рыночных методов;0.300452;0.300452;0.075711;0.075711
min;Энергосберегающая;0.249145;0.249145;0.084568;0.084568
min;RL (Q-learning);0.250328;0.251921;0.089988;0.090817
min;Минимизация ВрЗ;0.183421;0.183421;0.081227;0.081227
min;Прямого перебора;0.010000;0.010000;0.362847;0.362847
