Сценарий,Стратегия,Выполнено задач,Использовано энергии,Всего энергии,% выполнения,Ср. энергия на задачу,Общее время (µs)
equal,Рыночных методов,26,20177.12,25616.00,81.2%,776.04,48.266
equal,Энергосберегающая,28,19994.75,25616.00,87.5%,714.10,54.118
equal,RL (Q-learning),25,20167.12,25616.00,78.1%,806.68,220.168
equal,Минимизация временных задержек,26,20177.12,25616.00,81.2%,776.04,118.443
equal,Прямого перебора,26,20177.12,25616.00,81.2%,776.04,25.750
max,Энергосберегающая,31,25494.75,51232.00,96.9%,822.41,45.511
max,RL (Q-learning),31,25494.75,51232.00,96.9%,822.41,160.632
max,Минимизация временных задержек,30,25494.75,51232.00,93.8%,849.83,85.877
max,Прямого перебора,30,25494.75,51232.00,93.8%,849.83,23.268
max,Рыночных методов,30,25494.75,51232.00,93.8%,849.83,45.668
min,Прямого перебора,18,12535.94,12808.00,56.2%,696.44,31.249
min,Рыночных методов,18,12535.94,12808.00,56.2%,696.44,49.214
min,Энергосберегающая,23,12535.94,12808.00,71.9%,545.04,60.053
min,RL (Q-learning),18,12444.75,12808.00,56.2%,691.38,209.112
min,Минимизация временных задержек,18,12535.94,12808.00,56.2%,696.44,114.092
